iter	MultiClass
0	2.541849515
1	2.519443267
2	2.494871316
3	2.475951948
4	2.451235889
5	2.436292175
6	2.410983537
7	2.381394761
8	2.358798334
9	2.33940632
10	2.320658372
11	2.299209832
12	2.282122631
13	2.265243227
14	2.24974327
15	2.231955086
16	2.210806085
17	2.196647078
18	2.177107548
19	2.159238752
20	2.143446713
21	2.123554868
22	2.108243637
23	2.090147727
24	2.071614672
25	2.057643575
26	2.03981176
27	2.025149517
28	2.009448066
29	1.994246029
30	1.979180593
31	1.966720141
32	1.954983947
33	1.943871648
34	1.930621445
35	1.918227833
36	1.906601622
37	1.896122321
38	1.88361614
39	1.8734611
40	1.858687401
41	1.847517837
42	1.837193732
43	1.826573192
44	1.816893372
45	1.806804222
46	1.796611583
47	1.786763332
48	1.776052345
49	1.764333219
50	1.755229119
51	1.746230389
52	1.73770176
53	1.728016347
54	1.719145158
55	1.709586879
56	1.700904956
57	1.693115879
58	1.68199582
59	1.671725076
60	1.661691051
61	1.654129469
62	1.6443598
63	1.635349733
64	1.628481506
65	1.619027114
66	1.61049895
67	1.603989275
68	1.594017178
69	1.585756258
70	1.578601995
71	1.570416603
72	1.563276816
73	1.555361997
74	1.547826098
75	1.540535569
76	1.533379958
77	1.525324492
78	1.518543391
79	1.510088249
80	1.503208745
81	1.497192808
82	1.490418092
83	1.484013906
84	1.477362201
85	1.470346919
86	1.461850644
87	1.455120767
88	1.449298009
89	1.442269154
90	1.434797463
91	1.428445593
92	1.422431678
93	1.415335408
94	1.409451487
95	1.402275352
96	1.395818269
97	1.389967093
98	1.384109629
99	1.377985789
100	1.371266367
101	1.364756799
102	1.359763763
103	1.35404628
104	1.348304837
105	1.342269726
106	1.336236846
107	1.331245177
108	1.325588894
109	1.320258125
110	1.315277546
111	1.310032383
112	1.304819246
113	1.29953288
114	1.294695048
115	1.289516769
116	1.28472612
117	1.279218757
118	1.274415263
119	1.269505977
120	1.265247963
121	1.2601632
122	1.255016694
123	1.250008487
124	1.245117479
125	1.240299085
126	1.235334392
127	1.230196751
128	1.225734028
129	1.22076048
130	1.216283052
131	1.212207718
132	1.207563944
133	1.202718082
134	1.197908503
135	1.193925221
136	1.189777416
137	1.185702479
138	1.180958676
139	1.176769238
140	1.172329843
141	1.168369153
142	1.164283324
143	1.160170182
144	1.157085731
145	1.153311934
146	1.149256178
147	1.145129552
148	1.141190782
149	1.13739874
150	1.133904704
151	1.130418354
